Farmer_ID,Field_Area,Avg_Rainfall,Temperature,Seed_Type,Yield
640,8.220929551,86.61181607,26.59784664,Soybean,99.25789867
304,3.834013234,80.51688266,22.98800144,Corn,49.91946943
975,4.432014466,50.85632907,21.29932543,Rice,78.65657862
702,8.907056257,78.59032733,22.59046249,Soybean,94.8669599
630,3.415289608,52.38019673,27.23474997,Wheat,11.08246803
379,5.246812425,62.38969634,16.56311033,Corn,27.01503232
476,7.755366043,62.73365633,29.32097822,Wheat,80.38670128
41,3.610353963,28.53888192,19.41021214,Soybean,91.17272215
115,4.9111011,90.40461733,10.26620723,Rice,75.74024209
944,6.765051071,83.09837337,27.50656116,Corn,27.12879129
157,5.066272517,21.31137905,25.14685247,Soybean,35.10275603
121,4.722417332,31.12258743,13.95281576,Soybean,48.03309338
369,0.651361994,92.3957327,15.40174237,Corn,34.6656233
287,0.245908934,40.26479918,23.84393609,Wheat,91.2342606
885,9.509027392,83.76007258,19.08284475,Soybean,54.89519441
394,1.909541536,64.63467303,19.32610409,Soybean,71.98336581
66,5.176639268,64.71249416,20.97880303,Corn,48.19896254
863,1.170702468,30.79244479,28.60118857,Soybean,77.31064166
810,6.800837967,94.55843964,25.06814058,Corn,56.01196728
354,7.452657888,53.54559411,26.55912658,Corn,34.9870866
309,8.873681521,38.42470413,28.59591428,Soybean,36.50940071
628,0.724162285,96.90631257,19.05100761,Wheat,75.03044037
562,2.246796884,91.44666389,14.47464284,Wheat,20.72388584
951,7.615235825,36.24118441,18.42220666,Wheat,89.25020059
727,7.149761492,45.59466673,13.21665313,Rice,98.21850377
773,0.163031111,38.24787968,16.58479408,Wheat,89.68647898
853,9.019148273,22.72542349,14.35093056,Rice,13.5360798
318,2.305673566,46.94999946,16.17921564,Corn,95.72829935
242,9.845808925,26.94024037,16.40071601,Soybean,85.40810799
855,6.331313082,66.96204243,25.97910772,Soybean,37.68520564
937,0.543369987,47.61323961,14.6098033,Wheat,30.77582776
652,9.456141179,32.9604251,25.22272212,Rice,67.34495498
726,1.679276103,45.67975187,16.74546436,Corn,95.5848387
732,7.423823052,62.74672004,10.44354081,Corn,43.91041673
839,7.490672241,83.82892863,21.68874641,Corn,91.16336498
272,5.392172415,39.75728523,17.14110637,Corn,90.67620205
447,3.817960246,20.83901116,18.00475372,Corn,37.23575377
